1|Trial 01|Kushol|Abrar|1000
1|AUST No1 Couple|Johirul|Tasmia|178
1|Potential Differance|Abrar|Abrer|150
1|Bhondo Babaji|Sukrity|Musa|420
1|Northpole Southpole|Protik SJ|29|260
1|OGs|Rhino|Zebra|342
0|T1|A|B|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|h|h|kk|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|aa|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|d|a|aa|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|as|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|l|l|l|-1
0|l|l|l|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|d|f|-1
0|a|a|a|-1
0|a|ad|dw|-1
0|a|dw|a|-1
0|a|r|w|-1
0|a|d|f|-1
0|a|e|e|-1
0|h|h|h|-1
0|Abrar|Abrwr|Sasca|-1
0|a|a|s|-1
0|a|d|a|-1
0|a|a|d|-1
0|sc|cs|as|-1
0|as|as|as|-1
0|a|a|a|-1
0|a|d|f|-1
0|a|a|a|-1
0|s|s|s|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|l|l|l|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|l|l|l|-1
0|l|l|l|-1
0|a|a|a|-1
0|a|a|a|-1
0|l|l|l|-1
0|a|a|a|-1
0|a|aa|a|-1
0|a|a|a|-1
0|l|l|l|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|l|l|l|-1
0|a|a|a|-1
0|s|s|s|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|l|l|l|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|ad|d|-1
0|l|l|l|-1
0|a|l|k|-1
0|a|a|a|-1
0|a|a|a|-1
0|q|q|q|-1
0|d|d|d|-1
0|l|l|k|-1
0|k|k|k|-1
0|l|l|l|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|asa|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
0|a|a|a|-1
